scientificName,eBird_Species_Code,eBird_common_name
Hydrornis baudii,blhpit1,Blue-headed Pitta
Hydrornis cyaneus,blupit1,Blue Pitta
Hydrornis elliotii,babpit1,Bar-bellied Pitta
Hydrornis gurneyi,gurpit1,Gurney's Pitta
Pitta angolensis,afrpit1,African Pitta
Pitta reichenowi,grbpit1,Green-breasted Pitta
Pitta brachyura,indpit1,Indian Pitta
Pitta moluccensis,blwpit1,Blue-winged Pitta
Pitta nympha,faipit1,Fairy Pitta
Pitta sordida,hoopit2,Hooded Pitta
Pitta steerii,azbpit1,Azure-breasted Pitta
Pitta versicolor,noipit1,Noisy Pitta
Pitta maxima,ivbpit1,Ivory-breasted Pitta
Pitta concinna,elepit2,Ornate Pitta
Pitta elegans,elepit7,Elegant Pitta
Pitta vigorsii,elepit6,Banda Sea Pitta
Pitta anerythra,blfpit1,Black-faced Pitta
Pitta megarhyncha,manpit1,Mangrove Pitta
Pitta superba,suppit1,Superb Pitta
Pitta iris,raipit1,Rainbow Pitta
Euchrepomis callinota,rurant1,Rufous-rumped Antwren
Euchrepomis humeralis,chsant1,Chestnut-shouldered Antwren
Euchrepomis sharpei,yerant1,Yellow-rumped Antwren
Euchrepomis spodioptila,aswant1,Ash-winged Antwren
Cymbilaimus lineatus,fasant1,Fasciated Antshrike
Cymbilaimus sanctaemariae,bamant1,Bamboo Antshrike
Hypoedaleus guttatus,spbant3,Spot-backed Antshrike
Batara cinerea,giaant2,Giant Antshrike
Mackenziaena leachii,latant1,Large-tailed Antshrike
Mackenziaena severa,tufant1,Tufted Antshrike
Frederickena viridis,bltant3,Black-throated Antshrike
Frederickena unduliger,undant2,Undulated Antshrike
Frederickena fulva,fulant1,Fulvous Antshrike
Taraba major,greant1,Great Antshrike
Sakesphorus canadensis,blcant4,Black-crested Antshrike
Sakesphorus luctuosus,gloant1,Glossy Antshrike
Sakesphoroides cristatus,sicant1,Silvery-cheeked Antshrike
Radinopsyche sellowi,caaant1,Caatinga Antwren
Biatas nigropectus,whbant2,White-bearded Antshrike
Thamnophilus doliatus,barant1,Barred Antshrike
Thamnophilus ruficapillus,rucant1,Rufous-capped Antshrike
Thamnophilus torquatus,ruwant2,Rufous-winged Antshrike
Thamnophilus zarumae,chaant1,Chapman's Antshrike
Thamnophilus multistriatus,bacant2,Bar-crested Antshrike
Thamnophilus tenuepunctatus,linant1,Lined Antshrike
Thamnophilus palliatus,chbant2,Chestnut-backed Antshrike
Thamnophilus bernardi,colant1,Collared Antshrike
Thamnophilus atrinucha,wesant1,Black-crowned Antshrike
Thamnophilus bridgesi,blhant2,Black-hooded Antshrike
Thamnophilus schistaceus,plwant1,Plain-winged Antshrike
Thamnophilus murinus,mocant1,Mouse-colored Antshrike
Thamnophilus nigriceps,blaant1,Black Antshrike
Thamnophilus praecox,cocant1,Cocha Antshrike
Thamnophilus cryptoleucus,casant1,Castelnau's Antshrike
Thamnophilus nigrocinereus,blgant2,Blackish-gray Antshrike
Thamnophilus punctatus,norsla1,Northern Slaty-Antshrike
Thamnophilus stictocephalus,natsla1,Natterer's Slaty-Antshrike
Thamnophilus sticturus,bolsla1,Bolivian Slaty-Antshrike
Thamnophilus pelzelni,plasla1,Planalto Slaty-Antshrike
Thamnophilus ambiguus,soosla1,Sooretama Slaty-Antshrike
Thamnophilus caerulescens,varant1,Variable Antshrike
Thamnophilus unicolor,uniant2,Uniform Antshrike
Thamnophilus aethiops,whsant2,White-shouldered Antshrike
Thamnophilus aroyae,uplant1,Upland Antshrike
Thamnophilus melanonotus,blbant1,Black-backed Antshrike
Thamnophilus melanothorax,batant2,Band-tailed Antshrike
Thamnophilus amazonicus,amaant2,Amazonian Antshrike
Thamnophilus insignis,stbant1,Streak-backed Antshrike
Thamnophilus divisorius,acrant1,Acre Antshrike
Rhopias gularis,sttant1,Star-throated Antwren
Megastictus margaritatus,peaant1,Pearly Antshrike
Neoctantes niger,blabus1,Black Bushbird
Clytoctantes alixii,rebbus1,Recurve-billed Bushbird
Clytoctantes atrogularis,ronbus1,Rondonia Bushbird
Thamnistes anabatinus,rusant1,Russet Antshrike
Thamnistes rufescens,rufant12,Rufescent Antshrike
Dysithamnus stictothorax,spbant5,Spot-breasted Antvireo
Dysithamnus mentalis,plaant1,Plain Antvireo
Dysithamnus striaticeps,stcant1,Streak-crowned Antvireo
Dysithamnus puncticeps,spcant1,Spot-crowned Antvireo
Dysithamnus xanthopterus,rubant2,Rufous-backed Antvireo
Dysithamnus occidentalis,bicant4,Bicolored Antvireo
Dysithamnus plumbeus,pluant3,Plumbeous Antvireo
Dysithamnus leucostictus,whsant4,White-streaked Antvireo
Thamnomanes ardesiacus,dutant2,Dusky-throated Antshrike
Thamnomanes saturninus,satant1,Saturnine Antshrike
Thamnomanes caesius,cinant1,Cinereous Antshrike
Thamnomanes schistogynus,blsant1,Bluish-slate Antshrike
Xenornis setifrons,spfant1,Spiny-faced Antshrike
Isleria hauxwelli,pltant1,Plain-throated Antwren
Isleria guttata,rubant3,Rufous-bellied Antwren
Pygiptila stellaris,spwant2,Spot-winged Antshrike
Epinecrophylla fulviventris,chtant1,Checker-throated Stipplethroat
Epinecrophylla gutturalis,brbant2,Brown-bellied Stipplethroat
Epinecrophylla leucophthalma,wheant1,White-eyed Stipplethroat
Epinecrophylla haematonota,rubsti1,Rufous-backed Stipplethroat
Epinecrophylla amazonica,madant1,Rio Madeira Stipplethroat
Epinecrophylla spodionota,fooant1,Foothill Stipplethroat
Epinecrophylla ornata,ornant1,Ornate Stipplethroat
Epinecrophylla erythrura,rutant3,Rufous-tailed Stipplethroat
Myrmotherula brachyura,pygant1,Pygmy Antwren
Myrmotherula ignota,mouant,Moustached Antwren
Myrmotherula ambigua,yetant1,Yellow-throated Antwren
Myrmotherula sclateri,sclant1,Sclater's Antwren
Myrmotherula surinamensis,guista1,Guianan Streaked-Antwren
Myrmotherula multostriata,amasta1,Amazonian Streaked-Antwren
Myrmotherula pacifica,pacant,Pacific Antwren
Myrmotherula cherriei,cheant1,Cherrie's Antwren
Myrmotherula klagesi,klaant1,Klages's Antwren
Myrmotherula longicauda,stcant4,Stripe-chested Antwren
Myrmotherula axillaris,whfant2,White-flanked Antwren
Myrmotherula schisticolor,slaant1,Slaty Antwren
Myrmotherula sunensis,risant1,Rio Suno Antwren
Myrmotherula minor,salant1,Salvadori's Antwren
Myrmotherula longipennis,lowant1,Long-winged Antwren
Myrmotherula urosticta,batant3,Band-tailed Antwren
Myrmotherula iheringi,iheant1,Ihering's Antwren
Myrmotherula fluminensis,rdjant2,Rio de Janeiro Antwren
Myrmotherula grisea,ashant1,Ashy Antwren
Myrmotherula unicolor,uniant1,Unicolored Antwren
Myrmotherula snowi,alaant1,Alagoas Antwren
Myrmotherula behni,plwant2,Plain-winged Antwren
Myrmotherula menetriesii,gryant1,Gray Antwren
Myrmotherula assimilis,leaant1,Leaden Antwren
Dichrozona cincta,banant2,Banded Antbird
Myrmorchilus strigilatus,stbant2,Stripe-backed Antbird
Herpsilochmus pileatus,bahant1,Bahia Antwren
Herpsilochmus atricapillus,blcant2,Black-capped Antwren
Herpsilochmus praedictus,mapant1,Predicted Antwren
Herpsilochmus stotzi,ajpant1,Aripuana Antwren
Herpsilochmus motacilloides,crbant1,Creamy-bellied Antwren
Herpsilochmus parkeri,astant1,Ash-throated Antwren
Herpsilochmus sticturus,sptant1,Spot-tailed Antwren
Herpsilochmus dugandi,dugant1,Dugand's Antwren
Herpsilochmus stictocephalus,todant1,Todd's Antwren
Herpsilochmus gentryi,ancant1,Ancient Antwren
Herpsilochmus dorsimaculatus,spbant4,Spot-backed Antwren
Herpsilochmus roraimae,rorant1,Roraiman Antwren
Herpsilochmus pectoralis,pecant1,Pectoral Antwren
Herpsilochmus longirostris,labant1,Large-billed Antwren
Herpsilochmus axillaris,yebant2,Yellow-breasted Antwren
Herpsilochmus frater,ruwant3,Rusty-winged Antwren
Herpsilochmus rufimarginatus,ruwant4,Rufous-margined Antwren
Microrhopias quixensis,dowant1,Dot-winged Antwren
Formicivora iheringi,nabant1,Narrow-billed Antwren
Formicivora erythronotos,blhant4,Black-hooded Antwren
Formicivora grisea,whfant1,White-fringed Antwren
Formicivora serrana,serant1,Serra Antwren
Formicivora littoralis,resant1,Restinga Antwren
Formicivora melanogaster,blbant2,Black-bellied Antwren
Formicivora rufa,rubant4,Rusty-backed Antwren
Formicivora grantsaui,sinant1,Sincora Antwren
Formicivora acutirostris,parant1,Marsh Antwren
Drymophila ferruginea,ferant1,Ferruginous Antbird
Drymophila rubricollis,berant1,Bertoni's Antbird
Drymophila genei,rutant1,Rufous-tailed Antbird
Drymophila ochropyga,ocrant1,Ochre-rumped Antbird
Drymophila malura,dutant1,Dusky-tailed Antbird
Drymophila squamata,scaant2,Scaled Antbird
Drymophila devillei,strant2,Striated Antbird
Drymophila caudata,lotant1,East Andean Antbird
Drymophila klagesi,klaant2,Klages's Antbird
Drymophila hellmayri,samant2,Santa Marta Antbird
Drymophila striaticeps,sthant1,Streak-headed Antbird
Hypocnemis cantator,guiwaa1,Guianan Warbling-Antbird
